ID,Binomial,Group,Nrec,mtry,ntree,TP,FP,TN,FN,ROC,distriver,distroad,DPFpx,edgedist,edgels,edgepx,elevation,meanprecips,meantemps,MFls,SFAgepx,SFls,TSDls,UPFpx,method,Shape_Area,Shape_Area_scaled
20,Adenocalymmatanaeciicarpum,Trees,16,3,100,14,2,79,1,1,0.017260350870646,0.108934849855541,0.0142125678162156,0.381674046828764,0.021956561366123,0.0222709532821381,0.0391879950105549,0.0175372911009257,0,0.192638827904973,0.058466536609608,0.0356298161700709,1,0.561898333655874,SDM,6089192161612.49,0.851856809268167
21,Aegiphilaracemosa,Trees,10,3,200,5,5,48,2,0.95,0.216912671101402,0.16004438675364,0.00435302848083277,1,0.18329263023895,0.134113109944501,0.110683732245101,0.0816162360125946,0,0.618388323442894,0.153068601374843,0.201148839687122,0.712278149818862,0.265717397729207,SDM,10300000000000,0.750104116224137
22,Agonandrabrasiliensis,Trees,10,3,100,8,2,45,0,0.991666666666667,0.0463202203516562,0.0965075313718435,0.035212675322454,0.207823487458857,0.0568530545094361,0.0281876771786467,0.0357023775946518,0,0.0731661764930681,0.259473519629598,0.0222718892680722,0.0903531305402563,0.790641515425414,1,SDM,11725631999219.7,0.715654219487481
23,Aioueaguianensis,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,4277019732790.95,0.895647319775848
24,Aioueamyristicoides,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6287236990945.58,0.847071125498802
25,Aioueasaligna,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,8473894809797.74,0.794231307018936
26,Aioueatrinervis,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,8414889297108.17,0.795657154516861
27,Albiziapedicellaris,Trees,11,3,150,10,1,50,0,1,0.0102228684912167,0.0222146486623206,0.0163975531372293,0.332141218183805,0.0635662219047271,0.0184414494611682,0.035104576333642,0.0097235644552026,0,0.23177217625838,0.0492167783354616,0.00368430442904599,1,0.890429169294339,SDM,13824655343306.3,0.664932057322777
28,Alchorneopsisfloribunda,Trees,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,9243590252867.49,0.775631886869178
29,Alexagrandiflora,Trees,35,3,300,31,4,174,1,0.98641975308642,0.015629934801892,0.0362450800870588,0.072597122052078,0.321506926565923,0.0438314003761585,0.00455330309940625,0.0263390530972879,0.00414525000320234,0.00445956304584616,0.301133010198899,0,0.102028099430894,1,0.715991369174196,SDM,3916292085779.06,0.904364176718186
30,Alibertiaedulis,Trees,13,6,300,8,5,63,2,1,0.00172452435392611,0.0258354957916009,0.0442136634341191,0.207903160649033,0.184293416817326,0.196469756649043,0.0414365599272885,0,0.0127146894690849,1,0.0674469845515638,0.111528678611768,0.757240787519029,0.272019354129015,SDM,15256803732866.5,0.63032469430138
31,Alibertiasorbilis,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6457972498032.46,0.842945361913499
32,Allophylusangustatus,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6050000000000,0.852803874093575
33,Allophylusfloribundus,Trees,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,7593597994918.91,0.815503370487476
34,Amaiouacorymbosa,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,10713526367781.7,0.740111396731476
35,Amaiouaguianensis,Trees,30,4,100,26,4,129,1,0.966666666666667,0.00275516879623418,0.0307983500192194,0.157055539512345,0.412076905831423,0.0617117671786959,0,0.0248938557411419,0.018109286729289,0.0340127759728948,0.317529255398214,0.0185050239396649,0.0323263173766963,1,0.445685212938034,SDM,13584370656450.7,0.670738452419202
36,Amanoaguianensis,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,229000000000,0.99346629540134
37,Amaziliaversicolor,Birds,12,3,250,9,3,59,1,0.968611111111111,0.0300092766498333,0.0397593701962344,0.0361859789894922,0.383199697574702,0.0793203000656132,0.0246290146952059,0.0383658944368218,0,0.046989481159917,0.283050388078219,0.0826795036652681,0.035423258472946,1,0.228437067805326,SDM,429.142807132132,0.647025017916617
38,Amazonafarinosa,Birds,92,9,100,74,18,458,2,0.913636890203813,0.00444573337977199,0.0221571749288246,0.00459295696095683,0.0653845448160913,0.018651813660439,0,0.0171207960867137,0.0214725469424959,0.0441404291788242,0.0795322767683884,0.00910049563729095,0.0075166395503665,1,0.0879517107790773,SDM,556.89543853399,0.539248764697651
