"","ID","Binomial","Nrec","Group","ROC","TSS","Sensitivity","Specificity","Cutoff","Method","Shape_Area"
"983",973,"Rinoreocarpusulei",10,"Trees","1 +/- 0.03","0.9 +/- 0.07","100 +/- 0","92.76 +/- 6.76","0.39 +/- 0.2","SDM",NA
"984",974,"Roucheriapunctata",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"985",975,"Roureacnestidifolia",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"986",976,"Rourealigulata",18,"Trees","0.9 +/- 0.05","0.9 +/- 0.11","94.23 +/- 10.67","91.67 +/- 10.06","0.22 +/- 0.17","SDM",NA
"987",977,"Rudgealanceifolia",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"988",978,"Ryaniaspeciosa",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"989",979,"Sacoglottisguianensis",31,"Trees","0.9 +/- 0.03","0.8 +/- 0.05","90.91 +/- 8.7","87.64 +/- 11.89","0.21 +/- 0.17","SDM",NA
"990",980,"Sagotiabrachysepala",5,"Trees","1 +/- 0.04","1 +/- 0.06","100 +/- 0","96.14 +/- 6.2","0.3 +/- 0.08","UPFls_10",NA
"991",981,"Sagotiaguianensis",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"992",982,"Sagotiaracemosa",99,"Trees","0.9 +/- 0.03","0.8 +/- 0.07","88.96 +/- 7.66","91.47 +/- 5.99","0.15 +/- 0.07","SDM",NA
"993",983,"Salaciacordata",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"994",984,"Salaciaimpressifolia",6,"Trees","1 +/- 0.02","1 +/- 0.04","100 +/- 0","98.48 +/- 3.62","0.31 +/- 0.12","UPFls_10",NA
"995",985,"Salaciavolubilis",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"996",986,"Saltatorgrossus",70,"Birds","0.9 +/- 0.03","0.8 +/- 0.06","88.78 +/- 8.12","90.13 +/- 6.09","0.13 +/- 0.1","SDM",487.768861986302
"997",987,"Saltatormaximus",91,"Birds",NA,NA,NA,NA,NA,"UPFls_10",785.111001759513
"998",988,"Sapindussaponaria",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"999",989,"Sapiumglandulosum",58,"Trees","0.9 +/- 0.04","0.7 +/- 0.06","92.26 +/- 9.6","76.98 +/- 10.61","0.09 +/- 0.06","SDM",NA
"1000",990,"Sapiummarmieri",13,"Trees","0.9 +/- 0.03","0.9 +/- 0.07","100 +/- 0","85.96 +/- 7.09","0.2 +/- 0.15","SDM",NA
"1001",991,"Sarcaulusbrasiliensis",13,"Trees","1 +/- 0.01","1 +/- 0.03","100 +/- 0","98.88 +/- 2.54","0.29 +/- 0.09","SDM",NA
"1002",992,"Scheffleramorototoni",78,"Trees","0.9 +/- 0.03","0.8 +/- 0.06","90.04 +/- 7.59","84.94 +/- 8.8","0.13 +/- 0.08","SDM",NA
"1003",993,"Schiffornisturdina",26,"Birds","1 +/- 0.06","0.9 +/- 0.11","92.68 +/- 9.75","98.35 +/- 2.64","0.36 +/- 0.2","SDM",458.830650663829
"1004",994,"Schizolobiumparahyba",12,"Trees","0.9 +/- 0.05","0.9 +/- 0.08","100 +/- 0","88.94 +/- 7.58","0.19 +/- 0.07","SDM",NA
"1005",995,"Scleruruscaudacutus",12,"Birds","1 +/- 0.05","0.9 +/- 0.09","100 +/- 0","90.32 +/- 9.61","0.25 +/- 0.19","SDM",449.887176571286
"1006",996,"Sclerurusmexicanus",3,"Birds",NA,NA,NA,NA,NA,"UPFls_10",521.583193121028
"1007",997,"Sclerurusrufigularis",5,"Birds","1 +/- 0.05","0.9 +/- 0.08","100 +/- 0","94.52 +/- 7.72","0.29 +/- 0.09","SDM",434.074682314515
"1008",998,"Selenideragouldii",32,"Birds","1 +/- 0.03","0.9 +/- 0.09","93.89 +/- 8.17","91.15 +/- 8.2","0.2 +/- 0.14","SDM",157.754228754182
"1009",999,"Senegaliaalemquerensis",10,"Trees","1 +/- 0.03","0.9 +/- 0.07","100 +/- 0","94.78 +/- 6.65","0.24 +/- 0.12","SDM",NA
"1010",1000,"Senegaliamultipinnata",67,"Trees","0.9 +/- 0.05","0.7 +/- 0.08","83.65 +/- 10.11","87.01 +/- 9.85","0.14 +/- 0.08","SDM",NA
"1011",1001,"Sennachrysocarpa",8,"Trees","0.9 +/- 0.05","0.8 +/- 0.07","100 +/- 0","84.54 +/- 7.02","0.17 +/- 0.17","SDM",NA
"1012",1002,"Serjaniaobtusidentata",10,"Trees","1 +/- 0.04","0.9 +/- 0.08","100 +/- 0","93.86 +/- 8.05","0.37 +/- 0.23","SDM",NA
"1013",1003,"Serjaniapaucidentata",54,"Trees","0.9 +/- 0.03","0.8 +/- 0.07","93.51 +/- 6.6","82.51 +/- 8.15","0.12 +/- 0.08","SDM",NA
"1014",1004,"Serjaniatenuifolia",18,"Trees","1 +/- 0.03","0.9 +/- 0.06","99.38 +/- 3.95","91.12 +/- 15.7","0.25 +/- 0.12","SDM",NA
"1015",1005,"Sextoniarubra",8,"Trees","1 +/- 0.03","1 +/- 0.08","100 +/- 0","95.07 +/- 7.57","0.3 +/- 0.18","UPFls_10",NA
"1016",1006,"Simabacedron",74,"Trees","0.9 +/- 0.03","0.7 +/- 0.07","88.74 +/- 9.1","81.56 +/- 8.39","0.11 +/- 0.07","SDM",NA
"1017",1007,"Simabaguianensis",9,"Trees","0.9 +/- 0.07","0.9 +/- 0.11","100 +/- 0","84.18 +/- 18.43","0.21 +/- 0.18","SDM",NA
"1018",1008,"Simabamacrophylla",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1019",1009,"Simabapolyphylla",13,"Trees","1 +/- 0.03","0.9 +/- 0.06","100 +/- 0","94.39 +/- 6.38","0.19 +/- 0.11","SDM",NA
"1020",1010,"Simaroubaamara",49,"Trees","0.9 +/- 0.04","0.7 +/- 0.09","90.74 +/- 7.81","82.59 +/- 11.96","0.11 +/- 0.06","Excluded",NA
"1021",1011,"Siparunacuspidata",30,"Trees","1 +/- 0.04","0.9 +/- 0.08","92.73 +/- 8.37","92.55 +/- 7.35","0.2 +/- 0.14","SDM",NA
"1022",1012,"Siparunadecipiens",44,"Trees","1 +/- 0.04","0.9 +/- 0.08","90.43 +/- 8.46","97.09 +/- 3.21","0.26 +/- 0.15","SDM",NA
"1023",1013,"Siparunaglycycarpa",10,"Trees","0.9 +/- 0.06","0.9 +/- 0.08","100 +/- 0","92.33 +/- 7.66","0.24 +/- 0.12","SDM",NA
"1024",1014,"Siparunaguianensis",116,"Trees","0.9 +/- 0.03","0.7 +/- 0.05","84.91 +/- 10.11","83.43 +/- 9.03","0.14 +/- 0.15","SDM",NA
"1025",1015,"Siparunapoeppigii",11,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","96.92 +/- 6.36","0.35 +/- 0.17","SDM",NA
"1026",1016,"Sittasomusgriseicapillus",15,"Birds","1 +/- 0.01","1 +/- 0.04","100 +/- 0","97.56 +/- 4.23","0.31 +/- 0.16","SDM",913.133640209135
"1027",1017,"Sloaneaeichleri",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1028",1018,"Sloaneagarckeana",15,"Trees","1 +/- 0.04","0.9 +/- 0.09","100 +/- 0","86.9 +/- 9.21","0.2 +/- 0.23","SDM",NA
"1029",1019,"Sloaneagrandiflora",55,"Trees","0.9 +/- 0.04","0.8 +/- 0.09","89.53 +/- 9.67","93.74 +/- 6.2","0.17 +/- 0.12","SDM",NA
"1030",1020,"Sloaneaguianensis",37,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","88.66 +/- 11","91.46 +/- 8.39","0.2 +/- 0.16","SDM",NA
"1031",1021,"Sloaneaobtusa",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1032",1022,"Sloaneaparviflora",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1033",1023,"Sloaneaporphyrocarpa",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1034",1024,"Sloanearufa",5,"Trees","1 +/- 0.07","1 +/- 0.08","100 +/- 0","95.67 +/- 7.74","0.31 +/- 0.2","UPFls_10",NA
"1035",1025,"Sloaneasinemariensis",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1036",1026,"Smilaxcordato-ovata",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1037",1027,"Solanumleucocarpon",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1038",1028,"Soroceasp",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1039",1029,"Sp111sp",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1040",1030,"Sp11sp",3,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1041",1031,"Sp13sp",6,"Trees","1 +/- 0.05","1 +/- 0.07","100 +/- 0","96.35 +/- 7","0.42 +/- 0.18","Excluded",NA
"1042",1032,"Sp15sp",2,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1043",1033,"Sp1sp",32,"Trees","0.8 +/- 0.04","0.7 +/- 0.02","71.8 +/- 8.01","94.23 +/- 7.58","0.25 +/- 0.15","Excluded",NA
"1044",1034,"Sp1Sp1",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1045",1035,"Sp21sp",6,"Trees","1 +/- 0.05","0.9 +/- 0.08","100 +/- 0","93.46 +/- 7.69","0.23 +/- 0.07","Excluded",NA
"1046",1036,"Sp26sp",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1047",1037,"Sp28sp",2,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1048",1038,"Sp2sp",107,"Trees","0.9 +/- 0.02","0.8 +/- 0.05","87.97 +/- 6.8","86.98 +/- 7.94","0.15 +/- 0.16","Excluded",NA
"1049",1039,"Sp3sp",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1050",1040,"Sparattantheliumtupiniquinorum",23,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","93.33 +/- 9.61","85.99 +/- 9.25","0.16 +/- 0.13","SDM",NA
"1051",1041,"Spirantheraguianensis",7,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","96.55 +/- 6.1","0.36 +/- 0.1","UPFls_10",NA
"1052",1042,"Sterculiaexcelsa",14,"Trees","1 +/- 0.03","0.9 +/- 0.07","100 +/- 0","93.4 +/- 7.18","0.19 +/- 0.09","SDM",NA
"1053",1043,"Sterculiapruriens",111,"Trees","0.9 +/- 0.03","0.8 +/- 0.06","90.03 +/- 7.36","88.08 +/- 16.71","0.17 +/- 0.16","SDM",NA
"1054",1044,"Stigmaphyllonsinuatum",22,"Trees","0.9 +/- 0.05","0.8 +/- 0.05","91.67 +/- 12.5","83.91 +/- 14.39","0.16 +/- 0.12","SDM",NA
"1055",1045,"Stizophyllumriparium",8,"Trees","0.9 +/- 0.05","0.9 +/- 0.09","100 +/- 0","89.96 +/- 9.06","0.21 +/- 0.16","SDM",NA
"1056",1046,"Strixhuhula",3,"Birds",NA,NA,NA,NA,NA,"UPFls_10",607.071368517697
"1057",1047,"Strixvirgata",1,"Birds",NA,NA,NA,NA,NA,"UPFls_10",841.3111
"1058",1048,"Strychnoscogens",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1059",1049,"Strychnosguianensis",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1060",1050,"Strychnosjobertiana",5,"Trees","1 +/- 0.06","0.9 +/- 0.08","100 +/- 0","93.12 +/- 8.21","0.25 +/- 0.14","SDM",NA
"1061",1051,"Stryphnodendronadstringens",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1062",1052,"Stryphnodendronguianense",22,"Trees","0.9 +/- 0.04","0.7 +/- 0.07","98.33 +/- 6.45","73.94 +/- 8.54","0.12 +/- 0.08","SDM",NA
"1063",1053,"Stryphnodendronpaniculatum",67,"Trees","0.9 +/- 0.03","0.8 +/- 0.05","87.95 +/- 6.91","93.88 +/- 6.01","0.19 +/- 0.12","SDM",NA
"1064",1054,"Stryphnodendronpolystachyum",20,"Trees","1 +/- 0.04","0.9 +/- 0.09","96.05 +/- 9.24","91.91 +/- 7.81","0.22 +/- 0.16","SDM",NA
"1065",1055,"Stryphnodendronpulcherrimum",77,"Trees","0.9 +/- 0.02","0.7 +/- 0.05","86.06 +/- 8.46","81.37 +/- 9.84","0.11 +/- 0.04","SDM",NA
"1066",1056,"Stryphnodendronrotundifolium",19,"Trees","0.9 +/- 0.04","0.9 +/- 0.09","96.55 +/- 8.77","88.82 +/- 8.93","0.26 +/- 0.17","SDM",NA
"1067",1057,"Swartziaarborescens",27,"Trees","0.9 +/- 0.05","0.8 +/- 0.08","90 +/- 10.18","94.92 +/- 7.07","0.27 +/- 0.17","SDM",NA
"1068",1058,"Swartziabrachyrachis",16,"Trees","0.9 +/- 0.04","0.9 +/- 0.08","100 +/- 0","88.38 +/- 7.95","0.19 +/- 0.21","SDM",NA
"1069",1059,"Swartziaflaemingii",7,"Trees","0.9 +/- 0.08","0.9 +/- 0.09","100 +/- 0","92.08 +/- 8.81","0.22 +/- 0.14","SDM",NA
"1070",1060,"Swartziakuhlmannii",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1071",1061,"Swartzialaurifolia",71,"Trees","0.9 +/- 0.03","0.7 +/- 0.06","85.71 +/- 6.99","81.68 +/- 8.32","0.12 +/- 0.06","SDM",NA
"1072",1062,"Swartzialaxiflora",11,"Trees","1 +/- 0.04","0.9 +/- 0.08","100 +/- 0","92.5 +/- 8.43","0.28 +/- 0.14","SDM",NA
"1073",1063,"Swartziapolyphylla",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1074",1064,"Swartziarecurva",14,"Trees","1 +/- 0.02","1 +/- 0.06","100 +/- 0","96.24 +/- 6.67","0.31 +/- 0.15","SDM",NA
"1075",1065,"Syagruscocoides",22,"Trees","0.9 +/- 0.08","0.9 +/- 0.1","93.9 +/- 10.87","95.34 +/- 4.49","0.29 +/- 0.21","SDM",NA
"1076",1066,"Symphoniaglobulifera",31,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","90.4 +/- 8.37","93.45 +/- 6.84","0.2 +/- 0.16","SDM",NA
"1077",1067,"Symplocosmartinicensis",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1078",1068,"Systemonodaphnegeminiflora",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1079",1069,"Tabernaemontanaangulata",27,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","89.52 +/- 10.24","94.97 +/- 7.36","0.34 +/- 0.25","SDM",NA
"1080",1070,"Tabernaemontanasp",4,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1081",1071,"Tabernaemontanaundulata",9,"Trees","1 +/- 0.02","1 +/- 0.05","100 +/- 0","97.62 +/- 4.84","0.36 +/- 0.11","UPFls_10",NA
"1082",1072,"Tachigalialba",19,"Trees","0.9 +/- 0.07","0.9 +/- 0.13","88.33 +/- 12.61","99.12 +/- 1.77","0.36 +/- 0.11","SDM",NA
"1083",1073,"Tachigalichrysophylla",67,"Trees","1 +/- 0.04","0.9 +/- 0.08","93.2 +/- 8.76","96.99 +/- 3.41","0.2 +/- 0.13","SDM",NA
"1084",1074,"Tachigaliglauca",113,"Trees","1 +/- 0.02","0.8 +/- 0.05","86.96 +/- 7.41","89.42 +/- 17.83","0.17 +/- 0.17","SDM",NA
"1085",1075,"Tachigalipaniculata",33,"Trees","0.9 +/- 0.06","0.8 +/- 0.11","87.5 +/- 10.73","89.53 +/- 8.44","0.15 +/- 0.1","SDM",NA
"1086",1076,"Tachigaliparaensis",31,"Trees","0.9 +/- 0.02","0.8 +/- 0.05","95.83 +/- 7.72","81.35 +/- 6.61","0.14 +/- 0.1","SDM",NA
"1087",1077,"Tachigalivulgaris",12,"Trees","1 +/- 0.03","1 +/- 0.07","100 +/- 0","95.59 +/- 6.58","0.3 +/- 0.11","SDM",NA
"1088",1078,"Talisiaangustifolia",11,"Trees","1 +/- 0.04","0.9 +/- 0.08","100 +/- 0","92.1 +/- 16.34","0.33 +/- 0.22","SDM",NA
"1089",1079,"Talisiacarinata",38,"Trees","0.9 +/- 0.03","0.8 +/- 0.05","95.45 +/- 7.26","81.82 +/- 6.97","0.1 +/- 0.09","SDM",NA
"1090",1080,"Talisiacerasina",5,"Trees","1 +/- 0.04","1 +/- 0.07","100 +/- 0","95.11 +/- 7.48","0.31 +/- 0.08","UPFls_10",NA
"1091",1081,"Talisiaguianensis",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1092",1082,"Talisialongifolia",63,"Trees","0.9 +/- 0.02","0.7 +/- 0.03","86.62 +/- 7.04","87.81 +/- 6.84","0.16 +/- 0.12","SDM",NA
"1093",1083,"Talisiamacrophylla",79,"Trees","0.9 +/- 0.04","0.8 +/- 0.07","88.51 +/- 7.87","92.8 +/- 5.24","0.16 +/- 0.15","SDM",NA
"1094",1084,"Talisiamicrophylla",15,"Trees","1 +/- 0.03","0.9 +/- 0.09","100 +/- 0","94.36 +/- 8.54","0.32 +/- 0.24","SDM",NA
"1095",1085,"Talisiamollis",35,"Trees","0.9 +/- 0.04","0.8 +/- 0.07","89.8 +/- 11.2","90.2 +/- 8.04","0.19 +/- 0.21","SDM",NA
"1096",1086,"Talisianervosa",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1097",1087,"Talisiaretusa",25,"Trees","0.9 +/- 0.04","0.8 +/- 0.09","93.1 +/- 9.67","90.32 +/- 9.48","0.28 +/- 0.18","SDM",NA
"1098",1088,"Talisiasp",4,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1099",1089,"Tanaeciumbilabiatum",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1100",1090,"Tanaeciumpyramidatum",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1101",1091,"Tangaragyrola",20,"Birds","0.9 +/- 0.05","0.9 +/- 0.12","93.48 +/- 11.22","92.15 +/- 10.46","0.25 +/- 0.21","SDM",322.330344916941
"1102",1092,"Tangarapalmarum",85,"Birds","0.9 +/- 0.03","0.7 +/- 0.04","88.24 +/- 6.29","76.7 +/- 4.92","0.13 +/- 0.13","SDM",4.60345948849823
"1103",1092,"Tangarapalmarum",85,"Birds","0.9 +/- 0.03","0.7 +/- 0.04","88.24 +/- 6.29","76.7 +/- 4.92","0.13 +/- 0.13","SDM",1004.61651817536
"1104",1093,"Tangarapunctata",20,"Birds","1 +/- 0.05","0.9 +/- 0.11","92.59 +/- 11.63","95.04 +/- 8.19","0.36 +/- 0.22","SDM",208.07633308971
"1105",1094,"Tangaravaria",4,"Birds",NA,NA,NA,NA,NA,"UPFls_10",99.6103681427126
"1106",1095,"Tangaravelia",10,"Birds","0.9 +/- 0.04","0.9 +/- 0.08","100 +/- 0","87.12 +/- 8.39","0.12 +/- 0.08","SDM",402.099243468233
"1107",1096,"Tapiriraguianensis",120,"Trees","0.9 +/- 0.01","0.7 +/- 0.02","90.62 +/- 5.79","82.85 +/- 3.95","0.13 +/- 0.06","SDM",NA
"1108",1097,"Tapiriraobtusa",5,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","95.83 +/- 6.04","0.32 +/- 0.08","UPFls_10",NA
"1109",1098,"Tapuraamazonica",6,"Trees","0.9 +/- 0.08","0.9 +/- 0.08","100 +/- 0","90.83 +/- 8.61","0.33 +/- 0.22","SDM",NA
"1110",1099,"Tapurasingularis",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1111",1100,"Telitoxicumglaziovii",28,"Trees","0.9 +/- 0.05","0.9 +/- 0.08","89.08 +/- 8.06","96.95 +/- 4.47","0.34 +/- 0.2","SDM",NA
"1112",1101,"Terenotriccuserythrurus",38,"Birds","0.9 +/- 0.04","0.7 +/- 0.08","85.5 +/- 11.79","86.03 +/- 11.98","0.16 +/- 0.11","SDM",4.60318357845364
"1113",1101,"Terenotriccuserythrurus",38,"Birds","0.9 +/- 0.04","0.7 +/- 0.08","85.5 +/- 11.79","86.03 +/- 11.98","0.16 +/- 0.11","SDM",609.47546208844
"1114",1102,"Terminaliaamazonia",14,"Trees","1 +/- 0.03","0.9 +/- 0.1","100 +/- 0","88.19 +/- 10.14","0.23 +/- 0.19","SDM",NA
"1115",1103,"Terminaliaargentea",13,"Trees","1 +/- 0.03","0.9 +/- 0.09","100 +/- 0","88.07 +/- 8.86","0.13 +/- 0.09","SDM",NA
"1116",1104,"Terminaliatetraphylla",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1117",1105,"Tersinaviridis",5,"Birds","1 +/- 0.05","1 +/- 0.07","100 +/- 0","95.88 +/- 6.69","0.32 +/- 0.13","UPFls_10",731.058323369121
"1118",1106,"Tetracerawilldenowiana",26,"Trees","0.9 +/- 0.05","0.8 +/- 0.09","88.75 +/- 10.25","96.12 +/- 4.3","0.32 +/- 0.21","SDM",NA
"1119",1107,"Tetragastrisaltissima",78,"Trees","0.9 +/- 0.04","0.8 +/- 0.09","91.1 +/- 10.6","87.78 +/- 8.18","0.11 +/- 0.08","SDM",NA
"1120",1108,"Tetragastrispanamensis",33,"Trees","1 +/- 0.03","0.8 +/- 0.08","90 +/- 9.3","94.09 +/- 7.39","0.27 +/- 0.2","SDM",NA
"1121",1109,"Tetrapterysmacrostachya",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1122",1110,"Thaluraniafurcata",25,"Birds","1 +/- 0.06","0.9 +/- 0.09","94.21 +/- 9.19","98.55 +/- 3.61","0.36 +/- 0.15","SDM",932.896436185016
"1123",1111,"Thamnomanescaesius",118,"Birds","0.9 +/- 0.02","0.8 +/- 0.05","87.7 +/- 7.15","88.16 +/- 8.57","0.16 +/- 0.16","SDM",495.308442685812
"1124",1112,"Thamnophilusaethiops",97,"Birds","0.9 +/- 0.04","0.8 +/- 0.06","87.72 +/- 7.61","91.01 +/- 6.49","0.15 +/- 0.09","SDM",405.461507310126
"1125",1113,"Thamnophilusamazonicus",75,"Birds","0.9 +/- 0.02","0.7 +/- 0.04","89.52 +/- 6.52","76.81 +/- 8.14","0.12 +/- 0.08","SDM",506.815380617163
"1126",1114,"Thamnophilusschistaceus",82,"Birds","1 +/- 0.03","0.9 +/- 0.07","94.11 +/- 7.57","95.5 +/- 3.27","0.19 +/- 0.12","SDM",327.969138080657
"1127",1115,"Theobromagrandiflorum",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1128",1116,"Theobromaspeciosum",90,"Trees","1 +/- 0.03","0.8 +/- 0.06","88.27 +/- 8.9","90.58 +/- 6.39","0.15 +/- 0.08","SDM",NA
"1129",1117,"Theobromasubincanum",17,"Trees","1 +/- 0.02","1 +/- 0.06","100 +/- 0","96.47 +/- 6.26","0.26 +/- 0.17","SDM",NA
"1130",1118,"Thyrsodiumspruceanum",81,"Trees","0.9 +/- 0.02","0.8 +/- 0.04","96.15 +/- 5.44","80.75 +/- 6.2","0.1 +/- 0.04","SDM",NA
"1131",1119,"Tinamusguttatus",14,"Birds","1 +/- 0.02","1 +/- 0.06","100 +/- 0","95.14 +/- 6.17","0.25 +/- 0.15","SDM",324.956253321002
"1132",1120,"Tinamustao",8,"Birds","1 +/- 0.03","1 +/- 0.07","100 +/- 0","95.12 +/- 6.95","0.29 +/- 0.11","UPFls_10",0.007810136277473
"1133",1120,"Tinamustao",8,"Birds","1 +/- 0.03","1 +/- 0.07","100 +/- 0","95.12 +/- 6.95","0.29 +/- 0.11","UPFls_10",314.294035501332
"1134",1121,"Tityracayana",29,"Birds","0.9 +/- 0.03","0.8 +/- 0.05","87.12 +/- 7.15","90.99 +/- 6.67","0.24 +/- 0.13","SDM",417.460459330165
"1135",1122,"Tityrasemifasciata",12,"Birds","0.9 +/- 0.05","0.9 +/- 0.08","100 +/- 0","89.32 +/- 8.06","0.17 +/- 0.09","SDM",565.991958208336
"1136",1123,"Tolmomyiasassimilis",48,"Birds","0.9 +/- 0.03","0.8 +/- 0.06","96.36 +/- 6.58","83.11 +/- 6.29","0.09 +/- 0.03","SDM",480.137019287382
"1137",1124,"Tolmomyiasflaviventris",103,"Birds","0.8 +/- 0.02","0.5 +/- 0.04","79.65 +/- 11.29","73.57 +/- 9.81","0.12 +/- 0.1","Excluded",552.072560923937
"1138",1125,"Tolmomyiaspoliocephalus",67,"Birds","0.9 +/- 0.05","0.8 +/- 0.09","83.3 +/- 11.72","91.84 +/- 6.48","0.2 +/- 0.17","SDM",499.667389683896
"1139",1126,"Tomovitaschomburgkii",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1140",1127,"Touliciaguianensis",23,"Trees","0.9 +/- 0.05","0.8 +/- 0.1","96.25 +/- 8.06","76.74 +/- 31.3","0.13 +/- 0.16","SDM",NA
"1141",1128,"Tovomitaacutiflora",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1142",1129,"Tovomitasp",2,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"1143",1130,"Tovomitaumbellata",5,"Trees","1 +/- 0.04","1 +/- 0.06","100 +/- 0","96.67 +/- 5.95","0.3 +/- 0.07","UPFls_10",NA
"1144",1131,"Trattinnickiaburserifolia",65,"Trees","0.9 +/- 0.03","0.7 +/- 0.06","88.21 +/- 9.2","82.19 +/- 8.95","0.11 +/- 0.1","SDM",NA
"1145",1132,"Trattinnickiarhoifolia",48,"Trees","0.9 +/- 0.03","0.7 +/- 0.05","95 +/- 5.13","73.23 +/- 7.07","0.09 +/- 0.09","SDM",NA
"1146",1133,"Trichiliaelegans",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"1147",1134,"Trichilialecointei",18,"Trees","1 +/- 0.04","0.9 +/- 0.09","96.79 +/- 8.47","93.09 +/- 6.8","0.22 +/- 0.13","SDM",NA
"1148",1135,"Trichiliamicrantha",65,"Trees","0.9 +/- 0.02","0.8 +/- 0.04","87.33 +/- 7.17","88.56 +/- 7.9","0.14 +/- 0.06","SDM",NA
"1149",1136,"Trichiliaquadrijuga",9,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","96.12 +/- 6.12","0.32 +/- 0.13","UPFls_10",NA
"1150",1137,"Trichiliarubra",12,"Trees","1 +/- 0.02","1 +/- 0.05","100 +/- 0","97.6 +/- 5.2","0.32 +/- 0.14","SDM",NA
"1151",1138,"Trichiliaschomburgkii",14,"Trees","1 +/- 0.02","1 +/- 0.05","100 +/- 0","97.22 +/- 4.68","0.37 +/- 0.16","SDM",NA
"1152",1139,"Trichiliaseptentrionalis",7,"Trees","1 +/- 0.05","1 +/- 0.07","100 +/- 0","95.9 +/- 6.88","0.34 +/- 0.1","UPFls_10",NA
"1153",1140,"Trogonmelanurus",50,"Birds","1 +/- 0.04","0.9 +/- 0.1","92.8 +/- 8.43","92.81 +/- 8.49","0.23 +/- 0.21","SDM",531.607197357485
"1154",1141,"Trogonrufus",39,"Birds","0.9 +/- 0.05","0.9 +/- 0.09","90.5 +/- 9.3","95.56 +/- 5.52","0.18 +/- 0.13","SDM",551.678324724117
"1155",1142,"Trogonviolaceus",48,"Birds","1 +/- 0.04","0.9 +/- 0.07","89.58 +/- 6.9","97.15 +/- 5.08","0.29 +/- 0.15","SDM",597.491349593611
"1156",1143,"Trogonviridis",100,"Birds","0.9 +/- 0.02","0.8 +/- 0.05","87.59 +/- 6.1","90.66 +/- 4.74","0.14 +/- 0.1","SDM",649.205679532792
