"","ID","Binomial","Nrec","Group","ROC","TSS","Sensitivity","Specificity","Cutoff","Method","Shape_Area"
"854",845,"Posoquerialatifolia",8,"Trees","0.9 +/- 0.06","0.9 +/- 0.08","100 +/- 0","85.5 +/- 7.59","0.34 +/- 0.22","SDM",NA
"855",846,"Posoquerialongiflora",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"856",847,"Pouroumabicolor",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"857",848,"Pouroumaguianensis",76,"Trees","0.9 +/- 0.03","0.8 +/- 0.07","88.64 +/- 7.8","90.17 +/- 7.74","0.15 +/- 0.14","SDM",NA
"858",849,"Pouroumamollis",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"859",850,"Pouroumavillosa",6,"Trees","1 +/- 0.05","0.9 +/- 0.1","100 +/- 0","93.8 +/- 9.67","0.39 +/- 0.14","SDM",NA
"860",851,"Pouteriaanomala",57,"Trees","0.9 +/- 0.04","0.8 +/- 0.06","87.01 +/- 8.55","94.61 +/- 6.28","0.24 +/- 0.2","SDM",NA
"861",852,"Pouteriabangii",16,"Trees","1 +/- 0.02","1 +/- 0.06","100 +/- 0","96.57 +/- 6.11","0.32 +/- 0.16","SDM",NA
"862",853,"Pouteriabilocularis",6,"Trees","1 +/- 0.06","0.9 +/- 0.08","100 +/- 0","94.16 +/- 8.17","0.3 +/- 0.14","SDM",NA
"863",854,"Pouteriacaimito",89,"Trees","0.9 +/- 0.03","0.8 +/- 0.05","85.67 +/- 7.71","89.32 +/- 7.89","0.13 +/- 0.08","SDM",NA
"864",855,"Pouteriacampanulata",5,"Trees","1 +/- 0.05","0.9 +/- 0.08","100 +/- 0","93.89 +/- 7.66","0.27 +/- 0.09","SDM",NA
"865",856,"Pouteriacladantha",75,"Trees","0.9 +/- 0.02","0.8 +/- 0.05","86.97 +/- 6.66","90.21 +/- 6.38","0.14 +/- 0.1","SDM",NA
"866",857,"Pouteriacoriacea",35,"Trees","0.9 +/- 0.04","0.9 +/- 0.08","89.61 +/- 7.77","98.08 +/- 2.86","0.27 +/- 0.17","SDM",NA
"867",858,"Pouteriacrassiflora",5,"Trees","1 +/- 0.04","1 +/- 0.07","100 +/- 0","95.59 +/- 6.5","0.27 +/- 0.08","UPFls_10",NA
"868",859,"Pouteriacuspidata",11,"Trees","1 +/- 0.05","0.9 +/- 0.09","100 +/- 0","93.03 +/- 9.6","0.27 +/- 0.2","SDM",NA
"869",860,"Pouteriadecorticans",84,"Trees","0.9 +/- 0.08","0.8 +/- 0.15","84.25 +/- 15.96","92.2 +/- 6.7","0.2 +/- 0.21","SDM",NA
"870",861,"Pouteriaelegans",9,"Trees","1 +/- 0.06","0.9 +/- 0.09","100 +/- 0","91.19 +/- 9.21","0.21 +/- 0.13","SDM",NA
"871",862,"Pouteriaengleri",20,"Trees","0.9 +/- 0.06","0.8 +/- 0.11","89.17 +/- 12.6","95.36 +/- 7.31","0.34 +/- 0.22","SDM",NA
"872",863,"Pouteriaerythrochrysa",8,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","95.19 +/- 6.39","0.28 +/- 0.13","UPFls_10",NA
"873",864,"Pouteriaeugeniifolia",9,"Trees","1 +/- 0.04","0.9 +/- 0.08","100 +/- 0","93.61 +/- 8.51","0.21 +/- 0.15","SDM",NA
"874",865,"Pouteriafilipes",39,"Trees","1 +/- 0.04","0.8 +/- 0.09","87.83 +/- 9.85","95.42 +/- 6.74","0.26 +/- 0.22","SDM",NA
"875",866,"Pouteriafimbriata",5,"Trees","1 +/- 0.06","0.9 +/- 0.07","100 +/- 0","95 +/- 7.18","0.31 +/- 0.14","SDM",NA
"876",867,"Pouteriagongrijpii",62,"Trees","1 +/- 0.03","0.8 +/- 0.06","90.15 +/- 7.92","92.19 +/- 6.39","0.15 +/- 0.11","SDM",NA
"877",868,"Pouteriaguianensis",98,"Trees","0.9 +/- 0.04","0.8 +/- 0.06","83.85 +/- 7.3","95.79 +/- 4.67","0.2 +/- 0.11","SDM",NA
"878",869,"Pouteriaheterosepala",11,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","96.36 +/- 6.36","0.36 +/- 0.21","SDM",NA
"879",870,"Pouteriahispida",11,"Trees","1 +/- 0.04","0.9 +/- 0.08","100 +/- 0","92.73 +/- 7.81","0.27 +/- 0.23","SDM",NA
"880",871,"Pouteriajariensis",40,"Trees","0.9 +/- 0.05","0.9 +/- 0.09","88.25 +/- 9.59","98.01 +/- 3.08","0.32 +/- 0.19","SDM",NA
"881",872,"Pouteriakrukovii",24,"Trees","1 +/- 0.04","0.9 +/- 0.08","96.36 +/- 7.8","93.7 +/- 6.04","0.18 +/- 0.11","SDM",NA
"882",873,"Pouteriamacrocarpa",19,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","97.83 +/- 7.2","85.19 +/- 8.85","0.15 +/- 0.14","SDM",NA
"883",874,"Pouteriamacrophylla",122,"Trees","0.9 +/- 0.01","0.8 +/- 0.04","88.78 +/- 5.75","88.02 +/- 5.97","0.1 +/- 0.04","SDM",NA
"884",875,"Pouteriamaguirei",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"885",876,"Pouteriaoblanceolata",6,"Trees","0.9 +/- 0.07","0.9 +/- 0.07","100 +/- 0","93.55 +/- 7.04","0.37 +/- 0.24","SDM",NA
"886",877,"Pouteriaopposita",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"887",878,"Pouteriaoppositifolia",26,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","92.68 +/- 9.75","90.7 +/- 9.15","0.23 +/- 0.21","SDM",NA
"888",879,"Pouteriapariry",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"889",880,"Pouteriapeduncularis",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"890",881,"Pouteriaperuviensis",7,"Trees","1 +/- 0.07","0.9 +/- 0.08","100 +/- 0","94.88 +/- 8.06","0.33 +/- 0.19","SDM",NA
"891",882,"Pouteriapetiolata",6,"Trees","1 +/- 0.04","1 +/- 0.07","100 +/- 0","96.15 +/- 7.46","0.36 +/- 0.08","UPFls_10",NA
"892",883,"Pouteriaprieurii",7,"Trees","1 +/- 0.06","0.9 +/- 0.08","100 +/- 0","93.12 +/- 7.52","0.27 +/- 0.12","SDM",NA
"893",884,"Pouteriaprocera",7,"Trees","1 +/- 0.02","1 +/- 0.05","100 +/- 0","97.74 +/- 4.71","0.34 +/- 0.1","UPFls_10",NA
"894",885,"Pouteriareticulata",42,"Trees","1 +/- 0.04","0.9 +/- 0.09","90 +/- 11.04","95.73 +/- 4.69","0.26 +/- 0.2","SDM",NA
"895",886,"Pouteriaretinervis",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"896",887,"Pouteriasp",21,"Trees","0.9 +/- 0.06","0.9 +/- 0.12","92.5 +/- 11.6","95.46 +/- 7.07","0.25 +/- 0.15","Excluded",NA
"897",888,"Pouteriasp1",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"898",889,"Pouteriaspeciosa",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"899",890,"Pouteriatrilocularis",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"900",891,"Pouteriavenosa",30,"Trees","1 +/- 0.03","0.9 +/- 0.08","92 +/- 8.5","94.47 +/- 6.54","0.26 +/- 0.21","SDM",NA
"901",892,"Pouteriavernicosa",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"902",893,"Pouteriavirescens",5,"Trees","1 +/- 0.06","1 +/- 0.08","100 +/- 0","95.79 +/- 7.58","0.34 +/- 0.16","UPFls_10",NA
"903",894,"Pradosiabrevipes",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"904",895,"Pradosiagranulosa",7,"Trees","0.9 +/- 0.11","0.9 +/- 0.11","100 +/- 0","92.29 +/- 11.16","0.43 +/- 0.23","SDM",NA
"905",896,"Pradosiasurinamensis",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"906",897,"Prionostemmaaspera",28,"Trees","0.9 +/- 0.03","0.8 +/- 0.07","92.03 +/- 8.51","88.85 +/- 7.82","0.21 +/- 0.17","SDM",NA
"907",898,"Prognechalybea",143,"Birds","0.8 +/- 0.03","0.5 +/- 0.03","83.1 +/- 12.64","71.92 +/- 12.84","0.2 +/- 0.16","Excluded",1101.92304423815
"908",899,"Protiumaltsonii",26,"Trees","0.9 +/- 0.04","0.8 +/- 0.09","90 +/- 10.12","94.62 +/- 7.46","0.26 +/- 0.18","SDM",NA
"909",900,"Protiumamazonicum",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"910",901,"Protiumapiculatum",44,"Trees","0.9 +/- 0.05","0.9 +/- 0.09","89.44 +/- 9.05","96.15 +/- 4.48","0.22 +/- 0.15","SDM",NA
"911",902,"Protiumcrenatum",11,"Trees","1 +/- 0.01","1 +/- 0.03","100 +/- 0","98.58 +/- 2.99","0.35 +/- 0.11","SDM",NA
"912",903,"Protiumdecandrum",91,"Trees","0.9 +/- 0.04","0.8 +/- 0.06","83.21 +/- 7.72","95.79 +/- 4.24","0.22 +/- 0.14","SDM",NA
"913",904,"Protiumgiganteum",11,"Trees","1 +/- 0.04","0.9 +/- 0.08","100 +/- 0","92.01 +/- 7.8","0.28 +/- 0.23","SDM",NA
"914",905,"Protiumhebetatum",10,"Trees","1 +/- 0.03","0.9 +/- 0.07","100 +/- 0","94.78 +/- 6.82","0.28 +/- 0.14","SDM",NA
"915",906,"Protiumheptaphyllum",7,"Trees","1 +/- 0.06","1 +/- 0.07","100 +/- 0","96.03 +/- 7.23","0.42 +/- 0.24","UPFls_10",NA
"916",907,"Protiumopacum",7,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","96.05 +/- 5.6","0.34 +/- 0.14","UPFls_10",NA
"917",908,"Protiumpallidum",63,"Trees","0.9 +/- 0.04","0.7 +/- 0.08","83.29 +/- 10.29","87.72 +/- 9.32","0.15 +/- 0.13","SDM",NA
"918",909,"Protiumpaniculatum",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"919",910,"Protiumpilosum",17,"Trees","1 +/- 0.03","1 +/- 0.07","100 +/- 0","95.37 +/- 6.85","0.28 +/- 0.11","SDM",NA
"920",911,"Protiumpolybotryum",14,"Trees","1 +/- 0.04","0.9 +/- 0.07","100 +/- 0","89.47 +/- 6.65","0.17 +/- 0.12","SDM",NA
"921",912,"protiumrobustum",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"922",913,"Protiumrobustum",71,"Trees","0.9 +/- 0.04","0.8 +/- 0.06","88.35 +/- 9.16","92.91 +/- 6.34","0.18 +/- 0.16","SDM",NA
"923",914,"Protiumsagotianum",53,"Trees","0.9 +/- 0.03","0.8 +/- 0.07","88.86 +/- 9","92.79 +/- 5.86","0.23 +/- 0.23","SDM",NA
"924",915,"Protiumspruceanum",7,"Trees","1 +/- 0.04","1 +/- 0.06","100 +/- 0","96.25 +/- 6.41","0.34 +/- 0.14","UPFls_10",NA
"925",916,"Protiumsubserratum",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"926",917,"Protiumtenuifolium",54,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","90.39 +/- 9.85","90.11 +/- 7.94","0.12 +/- 0.1","SDM",NA
"927",918,"Protiumtrifoliolatum",57,"Trees","0.9 +/- 0.04","0.8 +/- 0.09","85.67 +/- 8.51","96.23 +/- 3.57","0.19 +/- 0.11","SDM",NA
"928",919,"Protiumunifoliolatum",10,"Trees","1 +/- 0.05","0.9 +/- 0.08","100 +/- 0","91.97 +/- 7.67","0.32 +/- 0.19","SDM",NA
"929",920,"Prunusmyrtifolia",9,"Trees","0.9 +/- 0.06","0.9 +/- 0.08","100 +/- 0","87.63 +/- 8.29","0.23 +/- 0.16","SDM",NA
"930",921,"Psarocoliusbifasciatus",17,"Birds","0.9 +/- 0.04","0.8 +/- 0.07","100 +/- 0","81.78 +/- 7.58","0.1 +/- 0.08","SDM",11.9290999770115
"931",922,"Psarocoliusviridis",36,"Birds","0.9 +/- 0.05","0.8 +/- 0.09","89.04 +/- 10.26","95 +/- 8.16","0.27 +/- 0.21","SDM",401.807707361866
"932",923,"Pseudanamomisumbellulifera",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"933",924,"Pseudasturalbicollis",1,"Birds",NA,NA,NA,NA,NA,"UPFls_10",697.22038375009
"934",925,"Pseudimafrutescens",40,"Trees","0.9 +/- 0.03","0.8 +/- 0.06","94 +/- 8.16","85.22 +/- 8.08","0.18 +/- 0.14","SDM",NA
"935",926,"Pseudoconnarusmacrophyllus",5,"Trees","1 +/- 0.07","0.9 +/- 0.08","100 +/- 0","93.75 +/- 8.71","0.26 +/- 0.17","SDM",NA
"936",927,"Pseudolmedialaevigata",11,"Trees","1 +/- 0.07","0.9 +/- 0.1","100 +/- 0","94.36 +/- 9.58","0.49 +/- 0.31","SDM",NA
"937",928,"Pseudolmedialaevis",12,"Trees","1 +/- 0.03","1 +/- 0.06","100 +/- 0","96.22 +/- 6.31","0.33 +/- 0.15","SDM",NA
"938",929,"Pseudolmediamacrophylla",9,"Trees","1 +/- 0.04","0.9 +/- 0.07","100 +/- 0","91.92 +/- 6.93","0.2 +/- 0.08","SDM",NA
"939",930,"Pseudopiptadeniapsilostachya",48,"Trees","0.9 +/- 0.04","0.7 +/- 0.08","86.56 +/- 9.02","85.61 +/- 8.05","0.18 +/- 0.1","SDM",NA
"940",931,"Pseudopiptadeniasp",2,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"941",932,"Pseudopiptadeniasuaveolens",76,"Trees","1 +/- 0.04","0.8 +/- 0.07","88.81 +/- 9.08","93.32 +/- 5.27","0.19 +/- 0.16","SDM",NA
"942",933,"Pseudoxandracuspidata",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"943",934,"Psophiadextralis",2,"Birds",NA,NA,NA,NA,NA,"UPFls_10",82.8736262316718
"944",935,"Psophiaobscura",1,"Birds",NA,NA,NA,NA,NA,"UPFls_10",18.5549667112279
"945",936,"Psychotriaappendiculata",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"946",937,"Psychotriacontracta",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"947",938,"Psychotriapaniculata",5,"Trees","1 +/- 0.03","1 +/- 0.05","100 +/- 0","97.33 +/- 5.16","0.34 +/- 0.1","UPFls_10",NA
"948",939,"Psychotriasp",1,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
"949",940,"Psychotriastipulosa",1,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"950",941,"Pterocarpusrohrii",34,"Trees","1 +/- 0.02","0.9 +/- 0.08","98.05 +/- 5.02","90.5 +/- 7.02","0.14 +/- 0.07","SDM",NA
"951",942,"Pteroglossusaracari",85,"Birds","0.9 +/- 0.02","0.7 +/- 0.04","86.55 +/- 6.48","79.04 +/- 7.75","0.11 +/- 0.07","SDM",274.257519570594
"952",943,"Pteroglossusbitorquatus",27,"Birds","0.9 +/- 0.04","0.8 +/- 0.09","91.43 +/- 10.04","92.67 +/- 6.46","0.2 +/- 0.16","SDM",67.8188636525529
"953",944,"Ptychopetalumuncinatum",5,"Trees","1 +/- 0.05","0.9 +/- 0.08","100 +/- 0","94.35 +/- 7.79","0.25 +/- 0.08","SDM",NA
"954",945,"Pygiptilastellaris",30,"Birds","1 +/- 0.03","0.9 +/- 0.08","94.3 +/- 8.01","91.82 +/- 7.8","0.2 +/- 0.18","SDM",383.278128427399
"955",946,"Pyriglenaleuconota",89,"Birds","0.9 +/- 0.03","0.7 +/- 0.08","86.4 +/- 8.48","83.93 +/- 7.51","0.12 +/- 0.04","SDM",164.252590025263
"956",947,"Pyriliavulturina",8,"Birds","1 +/- 0.03","1 +/- 0.06","100 +/- 0","97.12 +/- 5.6","0.32 +/- 0.12","UPFls_10",72.3178307882075
"957",948,"Pyrrhuraamazonum",16,"Birds","1 +/- 0.01","1 +/- 0.03","100 +/- 0","98.1 +/- 2.66","0.29 +/- 0.15","SDM",28.8887090453271
"958",949,"Pyrrhuralepida",21,"Birds","0.9 +/- 0.05","0.9 +/- 0.11","93.24 +/- 11.26","92.68 +/- 8.25","0.21 +/- 0.12","SDM",44.673245369034
"959",950,"Qualeadinizii",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"960",951,"Qualeaparaensis",4,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"961",952,"Quararibeaguianensis",41,"Trees","1 +/- 0.04","0.9 +/- 0.09","89.66 +/- 9.5","98.29 +/- 3.08","0.23 +/- 0.12","SDM",NA
"962",953,"Querulapurpurata",55,"Birds","1 +/- 0.04","0.8 +/- 0.07","91.85 +/- 9.2","91 +/- 6.58","0.13 +/- 0.08","SDM",461.5077571341
"963",954,"Quiinaamazonica",13,"Trees","1 +/- 0.03","0.9 +/- 0.09","100 +/- 0","92.59 +/- 9.36","0.31 +/- 0.19","SDM",NA
"964",955,"Quiinaparaensis",25,"Trees","0.9 +/- 0.04","0.8 +/- 0.08","89.66 +/- 10.17","93.1 +/- 5","0.17 +/- 0.08","SDM",NA
"965",956,"Ramphastostucanus",97,"Birds","0.9 +/- 0.05","0.7 +/- 0.07","82.08 +/- 11.06","92.28 +/- 5.6","0.16 +/- 0.12","SDM",192.830046636002
"966",957,"Ramphastosvitellinus",90,"Birds","0.9 +/- 0.03","0.7 +/- 0.06","81 +/- 10.22","88.09 +/- 8.68","0.13 +/- 0.1","SDM",142.359978448638
"967",958,"Ramphocaenusmelanurus",103,"Birds","0.9 +/- 0.03","0.7 +/- 0.03","83.6 +/- 9.26","89.4 +/- 9.83","0.17 +/- 0.11","SDM",29.6614251346191
