"Region","COD_IMOVEL","num_area_ha","num_modulo_new","size_class","FOREST_COVER_2010_PP","ADEF_BIODIVERSITY_BENEFIT","ADEG_BIODIVERSITY_BENEFIT","RESTOR_BIODIVERSITY_BENEFIT","ADEF_CARBON_BENEFIT","ADEG_CARBON_BENEFIT","RESTOR_CARBON_BENEFIT","ADEF_BIODIVERSITY_BENEFIT_HA","ADEG_BIODIVERSITY_BENEFIT_HA","RESTOR_BIODIVERSITY_BENEFIT_HA","ADEF_CARBON_BENEFIT_HA","ADEG_CARBON_BENEFIT_HA","RESTOR_CARBON_BENEFIT_HA"
"PGM","PA-1505502-10BE5221CA6E414BAC1F28DC4739CBA4",668.614119368331,12.1566203521515,"medium",0.47022232900059,114.917171942536,739.367995600216,45.2465825129766,45797.8124175072,43718.2171840668,10183.2802848816,0.171873684108112,1.10582169024299,0.067672191182147,68.4966277122211,65.3863206259677,15.2304296153694
"PGM","PA-1505502-32AD232938F4465E9A292E973157F05B",93.0490958340296,1.6918017424369,"small",0.314762645379644,9.82264234917238,0.020659910980612,0.679854536894709,7028.32244634628,14.1491718292236,1458.82147026062,0.105564081640222,0.000222032366842799,0.00730640669638914,75.5334845905715,0.152061357527442,15.6779757738076
"PGM","PA-1505502-011CEC9E805448AD8C417F89DFE13292",1606.73077859088,29.2132868834705,"large",0.76525468841532,67.7906866613775,0,3.5509586147964,11044.121556282,0,1325.95220756531,0.0421916898366948,0,0.0022100520274533,6.873660294208,0,0.825248526531733
"PGM","PA-1505502-10A0EB8763C24DF786F8A6FC343FA335",397.340509681673,7.22437290330315,"medium",0.998319943095817,0.900242008268833,0,0.0768083408474922,113.659614562988,1.20571899414062,16.6145782470703,0.0022656688314767,0,0.000193306091314542,0.286050910474862,0.00303447286335486,0.0418144584864528
"PGM","PA-1505502-8B1A6744B90E42C6BC856664188651AF",958.89949798551,17.4345363270093,"large",0.380726897204098,36.9545166734606,0.0958483722060919,49.7235748246312,17673.8290042877,0,35401.9319915771,0.0385384670146308,9.99566403021939e-05,0.0518548345567938,18.4313674596947,0,36.9193352024386
"PGM","PA-1505502-884867E4C7474609BC1238A87CFBDD98",51.53097785421,0.936926870076545,"small",1.01173571856943,159.247774809599,22.2965220808983,0.00012129545211792,53221.9215736389,1847.19301605225,0.0170516967773438,3.09033093181617,0.432681913081079,2.35383563768353e-06,1032.81412055119,35.8462636062967,0.000330901866942753
"PGM","PA-1505502-8E80FCBDB815495E84110D9DA5834ECD",35.8145506172711,0.651173647586747,"small",0.760259143686885,80.0199738293886,15.2283802777529,0,22420.9468460083,2889.94504165649,0,2.23428669214685,0.425200931333456,0,626.028987089847,80.6919252607585,0
"PGM","PA-1505502-7751F237D84145BE80C69E8D73723712",38.2029209359689,0.694598562472161,"small",0.782835147909906,46.7615537047386,41.4278991818428,0,17050.2256088257,5279.37808227539,0,1.22403084787979,1.08441705939918,0,446.306857986153,138.193047885633,0
"PGM","PA-1505502-777394AB1B0E4C14B85B1381A3A97043",98.950087590543,1.79909250164624,"small",0,0,0,0,0,0,0,0,0,0,0,0,0
"PGM","PA-1505502-B2F9E3C5C6304BDC9E27CB336DC361B0",39.1955646527222,0.712646630049494,"small",0.981647732973887,3.69839385151863,219.430501282215,0,5697.68725585938,19056.5911445618,0,0.0943574581534131,5.59835030382642,0,145.365612317149,486.192540237796,0
"PGM","PA-1505502-C26706217D3542DD83AD0E33476B3318",2269.13468317083,41.2569942394697,"large",0.981414258112037,27.2409768328071,0.0547692254185677,0,18443.4214324951,136.304077148438,0,0.0120050065934126,2.41366128792472e-05,0,8.12795360684485,0.0600687469806638,0
"PGM","PA-1505502-2CAE7B62DE164389833778BF9DB64B52",1447.72325588414,26.3222410160752,"large",0.425339328596214,32.9551891130395,0,140.362811322324,7188.91337680817,0,47719.1491966248,0.0227634590928178,0,0.0969541732177281,4.96566822946961,0,32.9615131916094
"PGM","PA-1505502-A26A028B0DB24AC0A523963B8867D620",121.87879928935,2.21597816889727,"small",0.515814903666366,96.8566781058908,0.830659929662943,0,40225.1952075958,76.9557514190674,0,0.794696687780337,0.00681545875497912,0,330.04259512024,0.631412123090976,0
"PGM","PA-1505502-DAFE4220753F4A01A93062C2B0D21C17",3.52510596613134,0.064092835747843,"small",0,0,0,0,0,0,0,0,0,0,0,0,0
"PGM","PA-1505502-74919A04883F4DAE9C9F4AA591A6B4D3",700.440216202627,12.7352766582296,"medium",0.96364829457725,571.971748012584,1502.07242065668,0,231136.719820023,168868.236110687,0,0.816588960459005,2.14446912942839,0,329.987791210946,241.088721356108,0
"PGM","PA-1505502-CF6B210157BA429A9EE23338C0613B06",530.836521380982,9.65157311601786,"medium",0.640911000079145,19.4325495483354,8.0738942110911,0.228472843766212,7877.5892457962,292.401447296143,40.5887336730957,0.0366074088078589,0.0152097564615311,0.000430401516406286,14.8399534103315,0.550831443427167,0.0764618334237879
"PGM","PA-1505502-15C051C2CF974A588922D4A7165B397A",539.974442422173,9.8177171349486,"medium",0.440815740430892,3.64719737228006,66.165892187506,12.3614974673837,4413.78820133209,2008.00449943542,6789.06228256226,0.00675438888536976,0.12253522942809,0.022892745463903,8.17406872357344,3.71870285272778,12.5729326227153
"PGM","PA-1505502-13ACB639A0364B68B5C5602D91FDDA1E",530.729555762748,9.64962828659542,"medium",0.151177820227691,0,37.8923159642145,130.416980317794,0,341.272338867188,50627.2417507172,0,0.0713966568335484,0.245731519757483,0,0.643024936451337,95.3917889083024
"PGM","PA-1505502-F46AA2D011C2408690E479B1FCEA98D8",533.842028064068,9.70621869207396,"medium",0.491185850708061,52.3489510668442,164.068516608328,9.4579669078812,20042.9293136597,6260.29301261902,6137.09026527405,0.0980607526475259,0.307335331396271,0.0177167896319061,37.544682246813,11.72686428478,11.4960792568724
"PGM","PA-1505502-23973D3FBD384FA6A9AC1C5C37D34799",25.6311698772927,0.466021270496231,"small",0,0,0.00300725270062685,0.0258743576705456,0,0,1.31813812255859,0,0.000117327953231314,0.00100948797087363,0,0,0.0514271540811083
"PGM","PA-1505502-96E7FB1B27474570B2B99EDC553F198F",72.8455244569221,1.32446408103495,"small",0.382540477280472,22.0291172666475,167.144625520334,3.87890527257696,6687.75412082672,12370.7626695633,2125.86614608765,0.302408657647521,2.29450782002642,0.0532483677136649,91.8073439745991,169.821862932415,29.1832087411876
"PGM","PA-1505502-0F31FF8B877F4D08B481A5AF7B00AECB",4331.18217697424,78.7487668540771,"large",0.887733022824957,0,0,0,0,0,0,0,0,0,0,0,0
"PGM","PA-1505502-B446DAD204EB48D9908CC31EE77268C1",372.787399825664,6.77795272410299,"medium",0.458951449860419,82.5982570066117,6.55318705644459,8.48598662111908,38126.6079778671,416.648320198059,6165.58859634399,0.221569336960528,0.0175788856047957,0.0227636090304758,102.274400893639,1.11765666005049,16.5391550230168
"PGM","PA-1505502-33DFE1D332A14AA1AE2C0090BEBC2417",422.853524230438,7.68824589509888,"medium",0.859421357244937,98.1095185512677,0,0.00149796530604362,37750.1503868103,0.968021392822266,0.09478759765625,0.232017738837153,0,3.5425158363521e-06,89.2747682675999,0.00228925937080456,0.000224161777600781
"PGM","PA-1505502-3E58F05032924267A47DA13A6A78906C",938.92208966239,17.0713107211344,"large",0.292121047132793,99.6337940397207,0,399.232181720901,15184.5800333023,0,87869.4702129364,0.106115081471292,0,0.425202672422431,16.1723535961991,0,93.5854754940655
"PGM","PA-1505502-B640BA807A4345D5BCAF725EA7424517",147.53376130423,2.68243202371326,"small",0.015734800459982,0,0.00129216909408569,0,0,0,0,0,8.75846370798553e-06,0,0,0,0
